Abelha-europeia,Apis mellifera,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Animalia
Abelha-gigante-asiática,Apis dorsata,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Animalia
Abelha-melífera-asiática,Apis cerana,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Animalia
Cigarra-do-cafeeiro,Carineta fasciculata,Carineta,Cicadidae,Hemiptera,Insecta,Arthropoda,Animalia
Cigarra-marrom-asiática,Graptopsaltria nigrofuscata,Graptopsaltria,Cicadidae,Hemiptera,Insecta,Arthropoda,Animalia
Vespa-comum,Vespula vulgaris,Vespula,Vespidae,Hymenoptera,Insecta,Arthropoda,Animalia
Borboleta-azul,Maculinea alcon,Maculinea,Lycaenidae,Lepidoptera,Insecta,Arthropoda,Animalia
Borboleta-do-manacá,Methona themisto,Methona,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Animalia
Borboleta-cauda-de-andorinha,Papilio machaon,Papilio,Papilionidae,Lepidoptera,Insecta,Arthropoda,Animalia
Borboleta-monarca,Danaus plexippus,Danaus,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Animalia
Formiga-cabo-verde,Paraponera clavata,Paraponera,Formicidae,Hymenoptera,Insecta,Arthropoda,Animalia
Formiga-Carpinteira,Camponotus cruentatus,Camponotus,Formicidae,Hymenoptera,Insecta,Arthropoda,Animalia
Formiga-de-fogo,Solenopsis invicta,Solenopsis,Formicidae,Hymenoptera,Insecta,Arthropoda,Animalia
Formiga-da-madeira,Formica paralugubris,Formica,Formicidae,Hymenoptera,Insecta,Arthropoda,Animalia
Formiga-faraó,Monomorium pharaonis,Monomorium,Formicidae,Hymenoptera,Insecta,Arthropoda,Animalia
Gafanhoto-do-campo,Chorthippus paralellus,Chorthippus,Acrididae,Orthoptera,Insecta,Arthropoda,Animalia
Gafanhoto-gigante,Tropidacris dux,Tropidacris,Romaleidaee,Orthoptera,Insecta,Arthropoda,Animalia
Gafanhoto-migratório,Locusta migratoria,Locusta,Acrididae,Orthoptera,Insecta,Arthropoda,Animalia
Vespa-europeia,Vespa crabro,Vespa,Vespidae,Hymenoptera,Insecta,Arthropoda,Animalia
Vespa-gigante-asiática,Vespa mandarinia,Vespa,Vespidae,Hymenoptera,Insecta,Arthropoda,Animalia
Mariposa-atlas,Attacus atlas,Attacus,Saturniidae,Lepidoptera,Insecta,Arthropoda,Animalia
Mariposa-espelho,Rosthschildia aurota,Rosthschildia,Saturniidae,Lepidoptera,Insecta,Arthropoda,Animalia
Mariposa-Leopardo,Hypercompe escribonia,Hypercompe,Erebidae,Lepidoptera,Insecta,Arthropoda,Animalia
Escaravelho-vermelho,Rhynchophorus ferrugineus,Rhynchophorus,Curculionidae,Coleoptera,Insecta,Arthropoda,Animalia
Besouro-girafa,Trachelophorus giraffa,Trachelophorus,Attelabidae,Coleoptera,Insecta,Arthropoda,Animalia
Inseto-assassino,Acanthaspis petax,Acanthaspis,Reduviidae,Hymenoptera,Insecta,Arthropoda,Animalia
Borboleta-monarca,Danaus plexippus,Danaus,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Animalia
Ulysses Butterfly,Papilio ulysses,Papilio,Papilionidae,Lepidoptera,Insecta,Arthropoda,Animalia
Mariposa-bruxa,Ascalapha odorata,Ascalapha,Erebidae,Lepidoptera,Insecta,Arthropoda,Animalia
Caranguejeira-de-Joelho-Vermelho-Mexicana,Brachypelma smithi,Brachypelma,Theraphosidae,Araneae,Arachnida,Arthropoda,Animalia
Aranha-Armadeira,Phoneutria,Phoneutria,Ctenidae,Araneae,Arachnida,Arthropoda,Animalia
Tatuzinho-de-jardim,Armadillidium vulgare,Armadillidium,Armadillidiidae,Isopoda,Malacostraca,Arthropoda,Animalia
Besouro-hércules,Dynastes hercules,Dynastes,Scarabaeidae,Coleoptera,Insecta,Arthropoda,Animalia
Besouro elefante,Megasoma elephas,Megasoma,Scarabaeidae,Coleoptera,Insecta,Arthropoda,Animalia
Mariposa-de-cinco-manchas,Manduca quinquemaculata,Manduca,Sphingidae,Lepidoptera,Insecta,Arthropoda,Animalia
Rei-dos-Louva-a-Deu,Idolomantis diabolica,Idolomantis,Empusidae,Mantodea,Insecta,Arthropoda,Animalia
Aranha-golias,Theraphosa blondi,Theraphosa,Theraphosidae,Araneae,Arachnida,Arthropoda,Animalia
Louva-a-deus orquídea,Hymenopus coronatus,Hymenopus,Hymenopodidae,Mantodea,Insecta,Arthropoda,Animalia
Besouro-rinoceronte-japonês,Allomyrina dichotoma,Allomyrina,Scarabaeidae,Coleoptera,Insecta,Arthropoda,Animalia
Escorpião-marrom,Tityus bahiensis,Tityus,Buthidae,Scorpiones,Arachnida,Arthropoda,Animalia
Taturana-oblíqua,Lonomia obliqua,Lonomia,Saturniidae,Lepidoptera,Insecta,Arthropoda,Animalia
Aranha-teia-de-funil,Atrax robustus,Atrax,Hexathelidae,Araneae,Arachnida,Arthropoda,Animalia
Escorpião-imperador,Pandinus imperator,Pandinus,Scorpionidae,Scorpiones,Arachnida,Arthropoda,Animalia
Barata-de-madagascar,Gromphadorhina portentosa,Gromphadorhina,Blaberidae,Blattodea,Insecta,Arthropoda,Animalia
Caranguejeira-rosa-salmão-brasileira,Lasiodora parahybana,Lasiodora,Theraphosidae,Araneae,Arachnida,Arthropoda,Animalia
Mariposa-cigana,Lymantria dispar,Lymantria,Lymantriidae,Lepidoptera,Insecta,Arthropoda,Animalia
Viúva-negra,Latrodectus hasseltii,Latrodectus,Theridiidae,Araneae,Arachnida,Arthropoda,Animalia
Rosa-Chilena,Grammostola rosea,Grammostola,Theraphosidae,Araneae,Arachnida,Arthropoda,Animalia
Escorpião-negro,Androctonus crassicauda,Androctonus,Buthidae,Scorpiones,Arachnida,Arthropoda,Animalia
Aranhas-rato,Missulena bradleyi,Missulena,Actinopodidae,Araneae,Arachnida,Arthropoda,Animalia
